Protein IDs,Majority protein IDs,Protein names,Gene names,Lead gene name,id,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,MS/MS count,Minus_log10_Pvalue,Log2FC,Median Normalized Intensity Cont1,Median Normalized Intensity Cont2,Median Normalized Intensity Cont3,Median Normalized Intensity Cont4,Median Normalized Intensity Cont5,Median Normalized Intensity Cont6,Median Normalized Intensity KD1,Median Normalized Intensity KD2,Median Normalized Intensity KD3,Median Normalized Intensity KD4,Median Normalized Intensity KD5,Median Normalized Intensity KD6
A0A140T9Q6;A0A140T9B9;A0A140T9N6;A0A140T9V9;H0Y551;P14373,A0A140T9Q6;A0A140T9B9;A0A140T9N6;A0A140T9V9;H0Y551;P14373,Zinc finger protein RFP,TRIM27,TRIM27,321,1,1,1,26.9,26.9,26.9,5.8553,0,3.9121,5,0,0.053230206,-3.211856365,NaN,-3.920838118,NaN,NaN,-3.251253605,NaN,NaN,NaN,NaN,-3.408085823,NaN
A2AB22;A2AB23;E9PQZ5;A0A140TA01;E9PQT8;O43189,A2AB22;A2AB23;E9PQZ5;A0A140TA01;E9PQT8;O43189,PHD finger protein 1,PHF1,PHF1,322,1,1,1,12.4,12.4,12.4,15.906,0.0049859,2.0084,2,0,-0.52067256,NaN,NaN,-3.276517391,NaN,-4.581059456,NaN,NaN,NaN,NaN,NaN,-4.449460983,NaN
A0A140TA86;Q5XKP0;K7EIR2;A0A140TA84,A0A140TA86;Q5XKP0;K7EIR2;A0A140TA84,Protein QIL1,QIL1;C19orf70,QIL1,323,4,4,4,57.9,57.9,57.9,15.436,0,21.676,120,2.254479407,0.2870293,0.449055046,0.217455164,0.313977838,0.104878329,0.193843856,0.134630308,0.30276078,0.530232489,0.625108361,0.712223053,0.584664047,0.381027609
P43004;A0A2R8Y740;A0A2R8Y6B8;A0A2R8Y860;H0YEK4;A0A2R8Y4W1;A0A2U3TZS7;A0A163QEF0;A0A2R8YG01;A0A2R8Y5Y1;A0A2R8Y862;A0A2R8Y6J5;A0A2U3U0E3;A0A2R8YFE3;A0A2R8YD46;A0A2R8Y642;A0A2R8YH93;C9J9N5;A0A2R8Y4D1;A0A2R8Y4N0;A0A2R8YHI4;H0YEB1,P43004;A0A2R8Y740;A0A2R8Y6B8;A0A2R8Y860;H0YEK4;A0A2R8Y4W1;A0A2U3TZS7;A0A163QEF0;A0A2R8YG01;A0A2R8Y5Y1;A0A2R8Y862;A0A2R8Y6J5;A0A2U3U0E3;A0A2R8YFE3;A0A2R8YD46;A0A2R8Y642;A0A2R8YH93;C9J9N5;A0A2R8Y4D1;A0A2R8Y4N0,Excitatory amino acid transporter 2;Amino acid transporter,SLC1A2,SLC1A2,324,8,8,8,17.2,17.2,17.2,62.104,0,69.196,137,3.437708553,-0.500371218,1.877174735,2.309151649,2.38482213,1.979643941,2.073907614,2.156240463,1.545264244,1.665897369,1.85785234,1.611063838,1.479590178,1.619045258
H0Y695;B3KTU4;A0A1B0GTA8;A0A1B0GTM2;P48728;A0A1B0GTB6;A0A1B0GUH1;A0A1B0GWC4;A0A1B0GTV8;A0A1B0GVP5;A0A1B0GV07;A0A1B0GUU7;A0A1B0GU55,H0Y695;B3KTU4;A0A1B0GTA8;A0A1B0GTM2;P48728;A0A1B0GTB6;A0A1B0GUH1;A0A1B0GWC4;A0A1B0GTV8;A0A1B0GVP5;A0A1B0GV07,"Aminomethyltransferase;Aminomethyltransferase, mitochondrial",AMT,AMT,325,6,6,6,25.4,25.4,25.4,36.42,0,27.249,26,0.769131248,0.541043984,-1.941902757,-0.802996814,-1.228860974,-1.063613772,-0.44232747,-2.351192951,-0.726165593,-1.672310591,-0.075732693,-0.917469561,-0.795355737,-0.397596657
O75787;A0A1B0GTB0;A0A1C7CYW4;A0A1B0GVW0;A0A1B0GVB9;A0A1B0GVC7;A0A1B0GWJ8;H7C3E1;A0A1B0GTU8;A0A1B0GU12;B7Z413;A0A1B0GUT7;A0A1B0GVZ1;H7C240;A0A1B0GV60;A0A1B0GVI9;A0A1B0GWD6;A0A1B0GW13;B7Z1I9,O75787;A0A1B0GTB0;A0A1C7CYW4;A0A1B0GVW0;A0A1B0GVB9;A0A1B0GVC7;A0A1B0GWJ8;H7C3E1;A0A1B0GTU8;A0A1B0GU12;B7Z413;A0A1B0GUT7;A0A1B0GVZ1;H7C240;A0A1B0GV60;A0A1B0GVI9;A0A1B0GWD6;A0A1B0GW13;B7Z1I9,Renin receptor,ATP6AP2,ATP6AP2,326,2,2,2,10.6,10.6,10.6,39.008,0.00023787,3.2012,21,0.896681959,-0.299308578,-2.287686348,-2.007234335,-2.744773388,-2.131080389,-2.085428953,-2.212599993,-2.025072575,-2.580297947,-2.46117878,-3.022313595,-2.351684332,-2.824107647
A0A1B0GTC0;E7EWI0;Q86UL8;A0A1B0GVS6;A0A0D9SFP3;A0A0D9SGF8;A0A0D9SEY4;A0A0E3D6M1;A0A0D9SGI1;A0A0D9SF86;A0A1B0GTH8;A0A0D9SFY9;A0A0D9SEZ7,A0A1B0GTC0;E7EWI0;Q86UL8;A0A1B0GVS6;A0A0D9SFP3;A0A0D9SGF8;A0A0D9SEY4;A0A0E3D6M1;A0A0D9SGI1;A0A0D9SF86;A0A1B0GTH8,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",MAGI2,MAGI2,327,4,4,4,4.2,4.2,4.2,133.57,0.0056119,1.9776,14,0.482385759,0.511192878,-1.278288007,-2.435551405,-2.653666973,-1.603990674,-1.403324127,-1.033665419,-2.20623827,-0.379388392,-2.445321321,-0.13748911,-1.759043455,-0.413848788
A0A1B0GTC3;A0A1B0GVH5;Q9C0B1;A0A1B0GUC3;A0A1B0GV98;A0A1B0GTC5;A0A1B0GU26;A0A1B0GTY1;A0A1B0GTI3;A0A1B0GUY7;A0A1B0GTZ8;F8WCB8;X6R3I0,A0A1B0GTC3;A0A1B0GVH5;Q9C0B1;A0A1B0GUC3;A0A1B0GV98;A0A1B0GTC5;A0A1B0GU26;A0A1B0GTY1,Alpha-ketoglutarate-dependent dioxygenase FTO,FTO,FTO,328,18,18,18,46.5,46.5,46.5,61.313,0,139.98,244,0.313897271,0.061609447,2.276968241,1.835220456,1.990489244,2.075420618,2.181931973,2.004564285,1.99152422,2.211923838,2.159436464,2.335473061,1.981642008,2.054251909
A0A1B0GUA1;A0A1B0GTG2;A0A1B0GW82;A0A1B0GW77;P49419;A0A1B0GTY9;A0A1B0GTJ4;A0A0J9YWF7;A0A1B0GUY0;H0YHM6;F8WDY6;A0A1B0GVU0;F8VVF2,A0A1B0GUA1;A0A1B0GTG2;A0A1B0GW82;A0A1B0GW77;P49419;A0A1B0GTY9;A0A1B0GTJ4;A0A0J9YWF7;A0A1B0GUY0,Alpha-aminoadipic semialdehyde dehydrogenase,ALDH7A1,ALDH7A1,329,18,18,5,45.5,45.5,10.2,56.465,0,178.12,404,2.090507736,0.184963942,4.051430702,4.252026081,4.133640289,4.304042816,4.211106777,4.322459698,4.345544338,4.425160885,4.445556164,4.273531437,4.36255312,4.53214407
P30566;A0A1B0GTJ7;A0A1B0GWJ0;A0A0A6YY92;A0A1B0GWF8;A0A096LNY6;A0A1B0GTG9;A0A096LNY5;A0A096LPA2;A0A096LNY4;A0A096LP92;A0A096LP72;B4DEP1;A0A1W2PRX2;A0A096LP76;A0A096LNT0;V9GY96,P30566;A0A1B0GTJ7;A0A1B0GWJ0;A0A0A6YY92;A0A1B0GWF8;A0A096LNY6;A0A1B0GTG9;A0A096LNY5,Adenylosuccinate lyase,ADSL,ADSL,330,16,16,16,45.9,45.9,45.9,54.889,0,28.627,134,0.888995945,0.296805898,1.557689071,1.434295177,1.880752921,1.446956396,1.935082793,0.920264006,1.883322358,2.169236183,1.833133936,1.955107689,1.493038058,1.62203753
A0A1B0GV63;A0A1B0GWJ2;A0A1B0GTJ8;A0A1B0GVK1;H0Y7H8;A0A3F2YNW7;Q8NFD5;A0A1B0GTI6,A0A1B0GV63;A0A1B0GWJ2;A0A1B0GTJ8;A0A1B0GVK1;H0Y7H8;A0A3F2YNW7;Q8NFD5;A0A1B0GTI6,AT-rich interactive domain-containing protein 1B,ARID1B,ARID1B,331,9,6,6,8.3,5.4,5.4,148.23,0,67.749,57,1.119483147,0.527330709,-0.907451212,-1.117113233,-1.667672753,-0.590211689,-1.75407505,-1.226580024,-1.040906429,-0.625520587,-0.09045817,-0.635357797,-0.307415456,-1.399461269
A0A1B0GV06;A0A1B0GUE3;A0A1B0GUG1;A0A1B0GUW4;E7EMM4;A0A1B0GW68;A0A1B0GUA4;A0A1B0GTM3;A0A1B0GTZ5;A0A1B0GUH5;Q13510;A0A1B0GTP7;A0A1B0GUB3;A0A1B0GVG2,A0A1B0GV06;A0A1B0GUE3;A0A1B0GUG1;A0A1B0GUW4;E7EMM4;A0A1B0GW68;A0A1B0GUA4;A0A1B0GTM3;A0A1B0GTZ5;A0A1B0GUH5;Q13510;A0A1B0GTP7,Acid ceramidase;Acid ceramidase subunit alpha;Acid ceramidase subunit beta,ASAH1,ASAH1,332,6,6,6,51,51,51,22.837,0,29.755,110,0.121805077,-0.045903802,2.622497559,2.793559551,2.858627081,2.930582762,3.290215015,2.651187181,2.960421562,2.961819649,2.67201972,3.012059927,2.909648418,2.355277061
A0A1B0GTU4;P49023;F5GZ78;A0A1B0GU60;F5H836;A0A1B0GV30,A0A1B0GTU4;P49023;F5GZ78,Paxillin,PXN,PXN,334,9,9,9,15,15,15,115.9,0,19.85,43,0.010165859,0.007295102,-0.893235326,-2.000681877,-0.982033193,-1.696585774,-1.226693392,-1.314452529,-1.881625414,-1.614118934,-1.517919183,-1.375597835,-0.864851892,-0.815798223
H0Y488;A0A1B0GTU5;O14497;A0A087WUV6;H0Y3S9;H0Y2R3,H0Y488;A0A1B0GTU5;O14497,AT-rich interactive domain-containing protein 1A,ARID1A,ARID1A,335,16,16,13,12.2,12.2,10.1,205.83,0,53.812,135,0.08718179,-0.025735795,1.633202672,1.699230552,1.788864493,1.587217808,1.817350864,2.062129259,2.054007053,1.925523043,1.68801856,1.622949481,1.623464108,1.51961863
A0A1B0GUA3;Q96EK5;A0A1B0GTE6;A0A0D9SFK7;A0A1B0GUH6;A0A1B0GVY9;A0A1B0GU96;A0A1B0GV79;A0A1B0GW21,A0A1B0GUA3;Q96EK5,KIF1-binding protein,KIAA1279,KIAA1279,336,8,8,8,24.3,24.3,24.3,74.783,0,58.971,95,0.694823356,0.243873163,0.010629005,-0.046766669,0.542551935,0.560601532,0.351440579,0.911002576,0.535543084,0.606436074,1.077331424,0.584372818,0.339443773,0.649570763
A0A1B0GUI1;Q6GYQ0;H0YJB5;H0YJ04,A0A1B0GUI1;Q6GYQ0,Ral GTPase-activating protein subunit alpha-1,RALGAPA1,RALGAPA1,337,11,11,11,6.3,6.3,6.3,280.41,0,11.738,74,0.314240292,-0.228436942,0.870542705,0.460255265,0.515973389,1.090224743,-0.366558731,0.220502913,0.381549299,0.04921408,0.822148919,-0.786426723,0.245274439,0.708558619
A0A1B0GUN5;Q5VTI5;Q9Y2H5;A0A5F9ZH45,A0A1B0GUN5;Q5VTI5;Q9Y2H5;A0A5F9ZH45,Pleckstrin homology domain-containing family A member 6,PLEKHA6,PLEKHA6,338,5,5,5,7.2,7.2,7.2,131.29,0,7.8775,34,0.606279488,0.183506201,-1.637577057,-1.259828806,-1.272135496,-0.90478617,-1.467285037,-1.291110039,-0.900088012,-1.105084896,-0.887148976,-0.933168113,-1.382553577,-1.523641825
B1AM27;A0A1B0GUS7;O14795;I6L9J0;F8W8M9;A0A0U1RRL2,B1AM27;A0A1B0GUS7;O14795;I6L9J0;F8W8M9,Protein unc-13 homolog B,UNC13B,UNC13B,339,14,14,4,15.1,15.1,5.9,184.34,0,181.14,115,4.769256206,-1.452298954,0.331870407,0.186667711,0.129610986,-0.744130909,-0.053940177,0.297663152,-1.632104039,-1.593057156,-1.339599013,-1.367099643,-1.027796388,-1.606396317
A0A1B0GV05;Q684P5,A0A1B0GV05;Q684P5,Rap1 GTPase-activating protein 2,RAP1GAP2,RAP1GAP2,340,5,5,4,9.2,9.2,8,85.181,0,24.131,44,0.434610316,-0.214131991,0.412773728,-0.69811368,-0.760852098,-0.583733737,-0.896103323,-0.67328167,-1.131101489,-1.068800211,-0.679903924,-0.429172397,-0.517870426,-0.657254279
A0A1B0GV45,A0A1B0GV45,,,,341,2,2,2,8,8,8,49.608,0.00023992,3.3612,4,0.518707462,-0.426260877,-3.074334621,-3.72997117,-4.178273678,NaN,-4.333684444,-4.368784904,-4.420159817,-4.883838177,-3.501813412,-4.647271156,NaN,NaN
A0A1B0GVD3;Q6ZN17;A0A1B0GTK2,A0A1B0GVD3;Q6ZN17;A0A1B0GTK2,Protein lin-28 homolog B,LIN28B,LIN28B,342,10,9,9,54.7,50,50,27.957,0,80.837,126,0.070253009,-0.043169896,1.954050779,2.1924088,1.867849708,1.291772962,1.9416219,2.425396681,1.113025784,1.998756051,2.131666183,2.152806044,1.975773931,2.042053461
A0A1B0GW44;A0A1B0GVD5;A0A1B0GWE8;P07339;A0A1B0GV23;H7C469;A0A1B0GVP3;A0A1B0GU92;A0A1B0GU03;H7C1V0;C9JH19;F8WD96;F8W787;A0A1B0GVF1;A0A1B0GV01,A0A1B0GW44;A0A1B0GVD5;A0A1B0GWE8;P07339;A0A1B0GV23;H7C469;A0A1B0GVP3;A0A1B0GU92;A0A1B0GU03;H7C1V0;C9JH19,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD,CTSD,343,13,13,13,41.5,41.5,41.5,43.688,0,301.23,405,1.82626035,0.192631006,4.721638203,4.796210289,4.746295929,4.84074688,4.884885311,4.734136581,4.909784794,4.994874477,5.261090755,4.853814125,4.891991615,4.968143463
A0A1B0GVL3;Q05086;A0A0D9SG77;A0A0D9SF91;A0A0D9SES7;A0A0D9SG63;S4R306;A0A0D9SFU3;A0A0D9SG54,A0A1B0GVL3;Q05086;A0A0D9SG77,Ubiquitin-protein ligase E3A,UBE3A,UBE3A,344,19,19,19,32.8,32.8,32.8,93.543,0,323.31,276,0.436127116,0.121910493,2.742168903,2.434479952,2.31151247,2.799687862,2.090645075,2.408141613,2.518323183,2.690483093,2.666369438,2.273064613,2.654841185,2.715017319
A0A1B0GVW3;F5H7N0;P28472,A0A1B0GVW3;F5H7N0;P28472,Gamma-aminobutyric acid receptor subunit beta-3,GABRB3,GABRB3,345,3,3,3,13,13,13,50.783,0,38.62,30,0.418064077,-0.326767157,-1.024322271,-1.114410639,-1.858737469,-2.55432725,-1.26053822,-1.901752472,-1.957372427,-2.009883404,-2.575931072,-0.81681627,-2.553823948,-1.760864139
A0A1B0GWA6;Q99250,A0A1B0GWA6;Q99250,Sodium channel protein type 2 subunit alpha,SCN2A,SCN2A,346,4,2,2,3.7,2,2,213.09,0.0076255,1.7784,2,0.722821334,-1.222449493,-2.615428448,-3.482194662,-3.37215209,-3.994930506,-3.77778101,-3.68290925,-3.961000919,-8.371664047,NaN,-3.904005766,-3.340134859,-3.973271847
Q674X7;A0A1B0GWK2;B0QYQ6,Q674X7;A0A1B0GWK2;B0QYQ6,Kazrin,KAZN,KAZN,347,2,2,2,7,7,7,86.35,0,15.122,23,0.240020303,-0.191873312,-3.214912653,-4.452812195,-4.029587269,-3.928494215,-4.449464798,-4.577744484,-4.593518734,-4.67832613,-4.8819561,-3.544254303,-3.805490971,NaN
R4GN77;R4GND1;A0A1B0GX65;Q969T4;Q96LR5;A0A087X283;R4GMM6;R4GNG6;C9J180,R4GN77;R4GND1;A0A1B0GX65;Q969T4;Q96LR5,Ubiquitin-conjugating enzyme E2 E3;Ubiquitin-conjugating enzyme E2 E2,UBE2E3;UBE2E2,UBE2E3,348,3,3,2,46.3,46.3,39.8,13.429,0,18.957,66,0.084281906,-0.027386834,0.614925385,0.762028992,0.326490253,0.612324119,0.407873005,0.710774899,0.49953571,0.348298877,0.727358699,0.284193933,0.493038058,0.917670369
F6WST4;A0A1B0GXE7;Q9P0S3;Q53FV1,F6WST4;A0A1B0GXE7;Q9P0S3;Q53FV1,ORM1-like protein 1;ORM1-like protein 2,ORMDL1;ORMDL2,ORMDL1,349,1,1,1,13.9,13.9,13.9,12.157,0.00069268,2.7634,6,0.456388311,-0.256985724,-3.052166462,-2.896783113,-2.729856491,-2.271860838,-2.826644182,-2.020234108,NaN,-3.134802341,-3.019044638,-3.1154387,NaN,-2.290354013
A0A1C7CYV9;Q8WUG5,A0A1C7CYV9;Q8WUG5,Solute carrier family 22 member 17,SLC22A17,SLC22A17,350,2,2,2,2.7,2.7,2.7,66.572,0.0032974,2.1854,15,0.713344948,-0.561849189,-3.726158142,-2.116698503,-3.452130556,-3.545194149,-2.083469152,-3.29270649,-4.0257411,-3.71688509,-2.756285191,NaN,-4.096905708,-3.393726349
A0A1C7CYX9;Q16555;E5RFU4,A0A1C7CYX9;Q16555,Dihydropyrimidinase-related protein 2,DPYSL2,DPYSL2,351,35,33,31,68.7,64.4,60.4,73.502,0,323.31,3031,0.74512411,-0.102063338,9.622751236,9.507225037,9.36870575,9.415369987,9.533320427,9.591221809,9.16991806,9.329341888,9.480506897,9.380840302,9.561227798,9.504379272
A0A2R8Y6K6;A0A1C7CYY3;A0A2R8YD64;A0A2R8Y5P1;Q9H902;U3KPV7,A0A2R8Y6K6;A0A1C7CYY3;A0A2R8YD64;A0A2R8Y5P1;Q9H902;U3KPV7,Receptor expression-enhancing protein 1;Receptor expression-enhancing protein,REEP1,REEP1,352,6,6,6,25.6,25.6,25.6,28.877,0,32.237,113,2.33327107,-0.497721374,2.00909996,2.063790798,1.850260735,1.771336555,1.373810887,2.085195065,1.696141601,1.23386085,1.132687092,1.237820983,1.442189336,1.424465895
Q12979;A0A1C7CYZ0;A0A0G2JQ41;B7Z683;I3NI05;I3L2P5;I3L1U8;I3L3W0;I3L0R7;A0A0G2JRJ1;A0A0G2JQB5;A0A0G2JSE0;I3L379;I3L4Y1;I3L2L3;I3L259;A0A0D9SGD7,Q12979;A0A1C7CYZ0;A0A0G2JQ41;B7Z683,Active breakpoint cluster region-related protein,ABR,ABR,353,17,15,15,31.4,29.3,29.3,97.597,0,35.872,113,0.287360957,-0.144908319,1.82880497,1.486008763,0.982252419,1.964748859,1.698833346,1.392231345,1.200304508,1.597087383,0.883901119,1.222897649,1.999104381,1.580134749
Q969N2;A0A1W2PP57;A0A1W2PNP0;A0A1W2PPS0;A0A1W2PPC3;A0A1W2PQN1;A0A1W2PPR6;A0A1W2PP53;A0A1W2PRZ8;A0A1W2PPK4;A0A1W2PR92;A0A1W2PQY1;A0A1W2PPQ7;A0A1W2PQ29;A0A1W2PQ52;A0A1W2PP13;A0A1W2PRH2;A0A1W2PPI8;H7C2Y2;A0A1W2PSC5;A0A1W2PRG1;A0A1W2PNW9;A0A1W2PR73;A0A1W2PRV7;A0A1W2PP91;A0A1W2PR34;A0A1W2PRH8;A0A1W2PQL3;A0A1W2PP98;A0A1W2PNS2;A0A1W2PNZ5;A0A1W2PP03;B7Z7C5;A0A1W2PR22;A0A1W2PQA4;A0A1W2PPU8,Q969N2;A0A1W2PP57;A0A1W2PNP0;A0A1W2PPS0;A0A1W2PPC3;A0A1W2PQN1;A0A1W2PPR6;A0A1W2PP53;A0A1W2PRZ8;A0A1W2PPK4;A0A1W2PR92;A0A1W2PQY1;A0A1W2PPQ7,GPI transamidase component PIG-T,PIGT,PIGT,354,8,8,8,18.2,18.2,18.2,65.699,0,28.364,76,1.113607224,-0.843722032,0.568602145,0.127393305,0.352774084,0.005993169,0.414704591,0.665691137,0.003400386,-1.112470269,-2.047383547,0.609692574,0.414384454,-0.794797361
A0A1W2PNX8;Q9H3U1,A0A1W2PNX8;Q9H3U1,Protein unc-45 homolog A,UNC45A,UNC45A,355,6,6,6,8.8,8.8,8.8,118.39,0,35.005,28,0.453505479,0.737847233,-2.915375948,-3.829936266,-4.26008749,-4.387902737,NaN,-3.403800488,NaN,-2.906065226,-3.174747705,-0.921361208,-2.811082602,-5.294610023
H7C0U0;F8WCQ4;A0A1W2PS40;C9JNP8;A0A1W2PP11;Q9H300,H7C0U0;F8WCQ4;A0A1W2PS40;C9JNP8;A0A1W2PP11;Q9H300,"Presenilins-associated rhomboid-like protein, mitochondrial;P-beta",PARL,PARL,356,1,1,1,12.6,12.6,12.6,17.608,0.0002429,3.5703,8,0.134737253,-0.162452082,-4.025003433,-4.434809685,-3.580356359,-1.940990925,-3.851838112,-4.078912258,NaN,-3.841904402,-4.076862335,-3.511734486,-3.82724762,NaN
C9JTB6;A0A1W2PQL2;A0A1W2PQ65;A0A1W2PS30;A0A1X7SBW1;A0A1W2PP71;Q96MP8,C9JTB6;A0A1W2PQL2;A0A1W2PQ65;A0A1W2PS30;A0A1X7SBW1;A0A1W2PP71;Q96MP8,BTB/POZ domain-containing protein KCTD7,KCTD7,KCTD7,357,1,1,1,7.3,7.3,7.3,19.803,0.0030857,2.2122,19,3.730252179,-0.45658102,NaN,-3.625978231,-3.907954454,-3.753858089,-3.750065088,-3.681135416,-4.369194031,-4.271847248,-4.139900684,-4.115469933,-4.105484486,NaN
A0A1W2PPB5;Q13873,A0A1W2PPB5;Q13873,Bone morphogenetic protein receptor type-2,BMPR2,BMPR2,358,2,2,2,4.4,4.4,4.4,57.042,0.00091933,2.7194,21,3.439479843,-1.40501068,-1.993882298,-1.33323741,-1.730051279,-1.476602793,-1.766945243,-1.565252662,NaN,-3.016136169,-3.024000406,-2.432471275,-2.797273397,-3.976815224
O14653;A0A1W2PRL0;E7EQ34;A0A1W2PS81;A0A1W2PQM3;A0A1W2PQP2;A0A1W2PPG1;A0A1W2PPP5;A0A1W2PPG5;A0A1W2PS12;I3NI02;A0A1W2PNV3;A0A1W2PR23;A0A1W2PPW8;A0A1W2PR02;A0A1W2PRC2;A0A1W2PQE0;I3L4Z6;A0A1W2PRP7;A0A1W2PQS3;A0A1W2PQ38;I3L0K1;A0A1W2PRV0;A0A1W2PRE6;A0A1W2PQ77;A0A1W2PPJ0;I3L1K7;A0A1X7SBU8;A0A1W2PRD0;A0A1W2PQ12;A0A1W2PQ06;A0A1W2PP28;A0A1W2PQQ4,O14653;A0A1W2PRL0;E7EQ34;A0A1W2PS81;A0A1W2PQM3;A0A1W2PQP2;A0A1W2PPG1;A0A1W2PPP5;A0A1W2PPG5;A0A1W2PS12;I3NI02;A0A1W2PNV3;A0A1W2PR23;A0A1W2PPW8;A0A1W2PR02;A0A1W2PRC2;A0A1W2PQE0;I3L4Z6;A0A1W2PRP7;A0A1W2PQS3;A0A1W2PQ38;I3L0K1;A0A1W2PRV0;A0A1W2PRE6;A0A1W2PQ77;A0A1W2PPJ0,Golgi SNAP receptor complex member 2,GOSR2,GOSR2,359,5,5,5,32.1,32.1,32.1,24.775,0,11.335,60,0.345629108,-0.470431799,-0.766626358,-0.854980588,-0.67391932,-1.052787066,-0.55748105,-0.831520855,-1.301585913,-0.608700156,-3.765662193,-0.54996115,-0.07401228,NaN
A0A1W2PQT3;A0A1W2PPH1;A0A1W2PQY8;P23368;A0A1W2PQF8;A0A1W2PQH3;A0A1W2PQ37;A0A1W2PR68;A0A1W2PRS2;A0A1W2PRY9;A0A1W2PQH4;A0A1W2PRH1;A0A1W2PPY2,A0A1W2PQT3;A0A1W2PPH1;A0A1W2PQY8;P23368;A0A1W2PQF8;A0A1W2PQH3;A0A1W2PQ37;A0A1W2PR68,"NAD-dependent malic enzyme, mitochondrial",ME2,ME2,360,18,18,18,58.6,58.6,58.6,59.787,0,173.69,321,1.913244682,-0.2509528,2.406603336,2.411614656,2.766996622,2.693534136,2.650630713,2.570800781,2.244552851,2.53034544,2.179110527,2.399883032,2.229977131,2.410594463
J3QT87;A0A1W2PPJ5;Q96SW2;J3QT51,J3QT87;A0A1W2PPJ5;Q96SW2;J3QT51,Protein cereblon,CRBN,CRBN,361,4,4,4,16.8,16.8,16.8,45.341,0,23.039,38,0.145180187,-0.052022457,-1.162886381,-1.73099196,-1.612021446,-1.879606605,-1.486798048,-1.401739001,-1.866459846,-1.862956047,-1.348136663,-1.39151454,-1.497504115,-1.619606972
A0A1W2PPX5;A0A1W2PQR6;A0A1W2PQB7;A0A1W2PS43;Q14108;A0A1W2PRS1;A0A1W2PPU6;A0A1W2PRF6;A0A1W2PSE4;D6RDG0;A0A1W2PS70;A0A1W2PNX7,A0A1W2PPX5;A0A1W2PQR6;A0A1W2PQB7;A0A1W2PS43;Q14108;A0A1W2PRS1;A0A1W2PPU6;A0A1W2PRF6,Lysosome membrane protein 2,SCARB2,SCARB2,362,10,10,10,31,31,31,49.204,0,42.476,146,1.083893035,-0.361956338,2.964849472,2.551275492,3.001612663,2.787655592,3.02461648,2.650228024,2.355302334,2.371063232,1.861701131,2.758800745,3.081133604,2.380498648
A0A1W2PPZ5;P23193;A0A1W2PRL9;E5RIS7;E5RJ93;B7Z4S1;E5RK46;A0A1W2PS15;E5RFI1;A0A1W2PPV7;Q5JRI7;A0A0A0MT58,A0A1W2PPZ5;P23193;A0A1W2PRL9;E5RIS7;E5RJ93,Transcription elongation factor A protein 1,TCEA1,TCEA1,363,9,9,8,30.2,30.2,25.9,33.935,0,55.684,69,0.046859978,0.025904189,1.323952198,1.024401426,0.541947484,0.577121973,0.679965079,1.582207561,1.226711512,1.225952268,0.675738931,0.870884597,0.888051391,0.997682154
A0A1X7SBZ2;A0A5H1ZRQ2;A0A1W2PQ51;Q92841;A0A0U1RQJ0,A0A1X7SBZ2;A0A5H1ZRQ2;A0A1W2PQ51;Q92841,Probable ATP-dependent RNA helicase DDX17,DDX17,DDX17,364,37,37,30,54.7,54.7,46,80.253,0,320.67,978,1.874853654,0.251452605,5.990776062,6.205716133,6.247244358,6.393230915,6.254396915,6.208536625,6.400133133,6.393000603,6.682462215,6.313574314,6.364057064,6.655389309
A0A1W2PQ90;Q92878;A0A494C1B7;A0A494C0Y7;E7ESD9;A0A494BZX5;A0A494C122;E7EN38;A0A494BZX8;H7C0V2;H7C0P8,A0A1W2PQ90;Q92878;A0A494C1B7,DNA repair protein RAD50,RAD50,RAD50,365,21,21,21,21.3,21.3,21.3,142.94,0,82.68,160,3.793737884,0.342535516,1.280697107,1.603028536,1.418068886,1.630688906,1.454542518,1.430730462,1.798361063,1.75084126,1.795770884,1.911443591,1.759359837,1.857192874
A0A1W2PQS6;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;S4R435;A0A2R8YFH6,A0A1W2PQS6;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;S4R435;A0A2R8YFH6,,RPS10;RPS10-NUDT3,RPS10,366,8,8,0,30.2,30.2,0,33.14,0,77.246,334,0.139512419,-0.032397469,4.157771111,4.121124268,4.197833538,4.21881485,4.246073246,4.38570261,4.491118431,4.129632473,3.928584814,4.304934978,4.233392239,4.045271873
A0A1W2PQV2;H3BUH9;P23434,A0A1W2PQV2;H3BUH9;P23434,"Glycine cleavage system H protein, mitochondrial",GCSH,GCSH,367,1,1,1,20,20,20,10.999,0,62.727,28,0.0794686,-0.054151038,-1.287950039,-1.315540552,-1.89101696,-0.528330863,-1.218013048,-1.653246522,-0.814552128,-1.352853537,-1.966870785,-1.306025028,-1.642187834,-1.136514902
